Complaints,Urgency
"The toilet keeps running water non-stop, causing wastage.",High
"My tap keeps dripping, even when fully closed.",Medium
The water in my shower turns cold after just a minute.,Medium
There?s a strong sewage smell coming from my sink drain.,Medium
The bathroom tap only produces water at a trickle.,Medium
"The water tank is not refilling properly, causing shortages.",Medium
My kitchen sink?s tap is slightly loose.,Low
The outdoor water tap is leaking slowly.,Low
There are stains on the bathroom wall from water leakage.,Low
My showerhead has rusted and sprays water unevenly.,Low
The toilet seat is loose and moves when I sit on it.,Low
The main circuit in my apartment has tripped and won?t turn back on.,High
A power socket in my kitchen sparked and smoked.,High
The electrical box outside my unit is exposed and dangerous.,High
My ceiling fan stopped working and now smells like it?s burning.,High
"A wire in my room is exposed, making it unsafe.",High
My light switch sometimes works and sometimes doesn?t.,Medium
The power socket near my bed only works if I wiggle the plug.,Medium
The switchboard in the living room has a loose panel.,Medium
The motion sensor light outside my door is not turning on at night.,Medium
The extension cord connected to my fridge gets very hot.,Medium
My light takes a few seconds to turn on after I press the switch.,Low
The bulb in my closet keeps flickering.,Low
"My hallway light is too dim, even with a new bulb.",Low
The fan in the bathroom makes a rattling noise when turned on.,Low
The power outlet cover in my room is slightly cracked.,Low
My router isn?t turning on at all.,High
The internet keeps disconnecting every 5 minutes.,High
I can?t connect to the WiFi even though the router is working.,High
The internet speed is so slow that even loading Google takes forever.,High
My network provider has completely shut down my area?s connection.,High
The WiFi signal in my bedroom is very weak.,Medium
Certain websites don?t open on my network but work on mobile data.,Medium
My router keeps restarting itself randomly.,Medium
The internet is slow whenever multiple people are using it.,Medium
I keep getting a ?limited connectivity? error on my laptop.,Medium
"My router?s indicator lights are not working, but the internet works fine.",Low
My internet speed is slightly slower than usual.,Low
The router sometimes makes a beeping noise.,Low
The WiFi name is showing up with a different name than before.,Low
"I can connect to WiFi, but it asks me to log in repeatedly.",Low
My bed completely collapsed while I was sleeping.,High
The wooden shelf in my wardrobe fell off.,High
"The legs on my dining table are unstable, and it could collapse.",High
"My office chair broke, and I almost fell.",High
"The cabinet in my kitchen fell, damaging my utensils.",High
The hinges on my wardrobe door are coming off.,Medium
One of the chairs in the dining area is missing a screw.,Medium
My bedside drawer does not slide smoothly.,Medium
The cushion on my sofa has a tear in it.,Medium
My desk wobbles when I write on it.,Medium
The handles on my closet are loose.,Low
The polish on my coffee table is wearing off.,Low
My chair creaks loudly whenever I sit down.,Low
The wardrobe door gets stuck sometimes.,Low
The armrest of my chair has a small crack.,Low
The security gate to my house has broken off its hinges.,High
The metal staircase railing is completely loose.,High
My metal door won?t close properly because of a welding issue.,High
The window security bars have detached from the frame.,High
The metal frame of my bed is breaking apart.,High
The iron bars on my fence are bending slightly.,Medium
My front gate gets stuck when closing.,Medium
The welding joint on my balcony railing looks weak.,Medium
The frame of my outdoor furniture is corroding.,Medium
My sliding door doesn?t move smoothly due to a welding issue.,Medium
My metal chair has rust spots on the joints.,Low
The railing on my stairs has a small bend.,Low
The welding on my garden bench looks worn out.,Low
My door handle is slightly loose due to poor welding.,Low
The hinges on my storage rack are squeaky.,Low
The water pipe outside has burst and is flooding the entrance.,High
My washing machine?s water inlet is leaking badly.,High
Water is backing up from the floor drain in my bathroom.,High
"The sink faucet completely broke off, and water is gushing out.",High
The main shut-off valve for the water supply is jammed.,High
"The bathroom tap drips non-stop, even when tightly closed.",Medium
There?s a slow leak under the kitchen sink that is soaking the cabinet.,Medium
The water from the shower smells like rust.,Medium
My toilet tank takes too long to refill after flushing.,Medium
The pipe under my washbasin is slightly cracked.,Medium
The tap in my guest bathroom is discolored and looks old.,Low
The outdoor garden hose connection is loose.,Low
"The drain in the kitchen smells bad, even after cleaning.",Low
My shower knob is stiff and hard to turn.,Low
The water pressure in my kitchen tap is weaker than before.,Low
The power keeps cutting off randomly throughout the day.,High
I got shocked when plugging something into my socket.,High
The wires behind my TV are overheating and smell like burning plastic.,High
My main fuse box is making a loud buzzing noise.,High
A spark came from my ceiling light fixture when I turned it on.,High
The bathroom exhaust fan isn?t working properly.,Medium
The dimmer switch in my living room is flickering.,Medium
My outdoor security light turns off randomly at night.,Medium
The ceiling fan in my study room wobbles dangerously.,Medium
One of my power outlets makes a clicking sound when plugged in.,Medium
The LED strip under my kitchen cabinet is flickering.,Low
The bedroom lamp switch is a bit loose.,Low
My garage light takes too long to turn on.,Low
The remote for my ceiling fan is unresponsive sometimes.,Low
The hallway light fixture is slightly misaligned.,Low
My modem keeps disconnecting and resetting itself.,High
The WiFi signal disappears entirely after a few hours.,High
The internet suddenly stops working for no reason.,High
My wired Ethernet connection doesn?t work at all.,High
The router is overheating and shuts off randomly.,High
Some apps won?t load while on WiFi but work on mobile data.,Medium
"The internet speed is inconsistent, sometimes fast and sometimes slow.",Medium
My device shows full WiFi bars but doesn?t actually connect.,Medium
The guest WiFi network isn?t accessible.,Medium
My VPN connection keeps dropping when using this network.,Medium
The WiFi signal icon sometimes disappears but still works.,Low
The internet lags a little when watching Netflix.,Low
The router sometimes blinks rapidly but works fine.,Low
My smart devices take longer to respond via WiFi.,Low
The WiFi router has a small crack on its casing.,Low
My office desk collapsed while I was working.,High
The bunk bed ladder is dangerously loose.,High
The dining table has a huge crack in the middle.,High
My TV stand is unstable and tilting forward.,High
My wardrobe completely fell apart when I tried to open it.,High
My wardrobe collapsed while I was trying to open it.,High
"The bookshelf fell over, almost hitting someone.",High
My dining chair completely broke while I was sitting on it.,High
The kitchen cabinet door fell off and broke on the floor.,High
"My office chair?s wheels completely broke, making it unusable.",High
Water is seeping through the bathroom wall from a hidden leak.,High
"The shower faucet completely broke off, and water is shooting out.",High
My toilet has overflowed onto the bathroom floor.,High
"There?s a major water leak in the ceiling, causing it to sag.",High
My entire apartment has no running water at all.,High
My bathroom floor is flooding because of a burst pipe under the sink.,High
There?s no hot water at all in my apartment.,High
"Water is leaking from the ceiling, and I suspect it?s from a pipe above.",High
"The sink?s drainage pipe detached, spilling dirty water everywhere.",High
My water heater is making loud banging noises and won?t heat water.,High
My bathroom sink takes forever to drain.,Medium
The hot water tap in the kitchen only produces lukewarm water.,Medium
The flush handle on my toilet is stuck and won?t flush.,Medium
The sink pipe is making a loud gurgling sound.,Medium
My bathtub drain stopper isn?t sealing properly.,Medium
The kitchen sink drains so slowly that water pools up.,Medium
The shower handle is so loose that it sometimes falls off.,Medium
"My bathroom tap works, but the water comes out in a very weak stream.",Medium
There?s an odd smell coming from the kitchen sink drain.,Medium
The water pressure in my shower is significantly weaker than before.,Medium
The showerhead is leaking from the side.,Low
The toilet makes a whistling noise after flushing.,Low
My bathroom mirror has water stains from leaking pipes.,Low
The kitchen tap takes a few seconds to release water after turning it on.,Low
There?s a minor drip from my laundry room faucet.,Low
My outdoor tap drips slightly but doesn?t affect usage.,Low
The bathtub faucet is making a whistling sound.,Low
My kitchen tap handle is slightly misaligned.,Low
The toilet seat is loose and wobbles when sat on.,Low
"My bathroom sink has a very slow leak, but it?s manageable for now.",Low
A power surge damaged my appliances.,High
Sparks fly out from the switch when I turn on the light.,High
The circuit breaker trips every time I use the microwave.,High
My doorbell camera stopped working completely.,High
The entire left side of my apartment has lost power.,High
The ceiling light in my hallway works sometimes but not always.,Medium
My living room fan makes a weird clicking noise when spinning.,Medium
The power socket near my kitchen counter smells like burnt plastic.,Medium
My wall-mounted air conditioner turns off randomly.,Medium
The balcony light doesn?t turn on at all.,Medium
The switch panel in my bedroom is slightly loose.,Low
My bedside lamp flickers slightly.,Low
The outdoor porch light has a delay before turning on.,Low
The electrical outlet cover in the living room is cracked.,Low
The smart light in my study room sometimes disconnects from WiFi.,Low
The WiFi network disappeared completely from all devices.,High
My internet speed is so slow I can?t even send messages.,High
The router keeps making a high-pitched noise.,High
My connection drops every time I try to upload files.,High
The internet goes out every evening and doesn?t return until morning.,High
The WiFi password resets itself randomly.,Medium
Certain websites refuse to load on my internet connection.,Medium
"My online calls keep freezing, making it impossible to work.",Medium
The router login page isn?t working.,Medium
My smart TV won?t connect to WiFi anymore.,Medium
The router blinks unnecessarily even when everything is working.,Low
The internet sometimes slows down but recovers quickly.,Low
The WiFi range isn?t as strong as it used to be.,Low
My gaming console shows a weak internet connection warning.,Low
My router?s antennas are slightly bent.,Low
"The main power keeps cutting off randomly, and I don?t know why.",High
One of my outlets sparked when I plugged something in.,High
My circuit breaker tripped and won?t reset.,High
The wiring behind my fridge is overheating.,High
A loud buzzing sound is coming from my fuse box.,High
My hallway light flickers when I turn it on.,Medium
The ceiling fan makes a loud rattling noise when running.,Medium
The kitchen outlet doesn?t work unless I press the plug in a certain way.,Medium
One of my wall sockets has started clicking when something is plugged in.,Medium
My bedroom light switch is slightly loose and wobbly.,Medium
The LED bulb in my bathroom flickers for a second before fully turning on.,Low
My living room lamp?s switch is stiff and hard to press.,Low
The outdoor porch light is dim even with a new bulb.,Low
My WiFi router?s power socket feels a bit loose.,Low
The TV power cord plug fits loosely in the wall socket.,Low
My internet completely cuts off when it rains.,High
"The router restarts itself every few minutes, disrupting my work.",High
I can?t connect to WiFi on any of my devices.,High
My internet stops working when more than three people are connected.,High
My modem makes a weird beeping sound before disconnecting.,High
My WiFi speed slows down significantly every evening.,Medium
"Video calls keep dropping, making remote meetings impossible.",Medium
The WiFi router randomly blocks my phone from connecting.,Medium
The internet works but takes a long time to load pages.,Medium
My smart home devices frequently disconnect from the WiFi.,Medium
The router has to be rebooted every few days to work properly.,Low
My laptop sometimes doesn?t detect the WiFi network.,Low
The router?s indicator lights are too dim to read properly.,Low
The WiFi network name disappears for a few seconds and then comes back.,Low
My internet works fine but struggles when streaming in HD.,Low
The dining table legs have become extremely wobbly and unsafe.,High
"My wardrobe doors won?t close properly, and one just fell off.",High
My office chair completely snapped at the base while I was sitting.,High
"A cabinet in the kitchen collapsed, spilling dishes everywhere.",High
"My bed frame is coming apart, making it unsafe to sleep on.",High
"My toilet is overflowing, and shutting off the valve isn?t stopping it.",High
"A pipe under the sink burst, and water is rapidly spreading across the floor.",High
There is sewage backup coming out of my bathtub drain.,High
"My shower water suddenly turned brown, and I?m worried it?s unsafe.",High
Water is leaking through my kitchen ceiling from an unknown source.,High
"The bathroom sink drains extremely slowly, even after cleaning the trap.",Medium
"My toilet flushes but takes too long to refill, making it inconvenient.",Medium
The shower pressure has dropped significantly in the past few weeks.,Medium
"My hot water runs out within minutes, even with a new heater.",Medium
The kitchen faucet vibrates loudly whenever I turn it on.,Medium
"The showerhead has developed a slow, constant drip.",Low
The water in my taps sometimes comes out with small air bubbles.,Low
The flush button on my toilet is getting harder to press over time.,Low
There?s a very faint hissing noise coming from my bathroom pipes.,Low
My washing machine water supply is slow but still works.,Low
One of my sockets sparked and tripped the circuit breaker.,High
The power in my kitchen keeps going off randomly.,High
My ceiling fan suddenly stopped spinning and smells like something is burning.,High
The main switch panel in my apartment is overheating.,High
There?s a buzzing sound coming from my bedroom wall near an outlet.,High
My living room light works but dims randomly throughout the day.,Medium
My air conditioning unit trips the power whenever I turn it on.,Medium
One of my light switches only works if I press it really hard.,Medium
The socket in my study room works intermittently.,Medium
The overhead light in my kitchen has started making a faint clicking sound.,Medium
The nightlight in my hallway takes a second to turn on after flipping the switch.,Low
"My extension cord connection seems a bit loose, but it still works.",Low
The plug in my bathroom outlet gets slightly warm after extended use.,Low
The TV power socket wobbles slightly when I plug things in.,Low
The outdoor security light takes a moment to fully brighten.,Low
My internet disconnects every time I start a video call.,High
The router restarts itself randomly throughout the day.,High
The internet connection is so unstable that I can?t load even basic web pages.,High
"My internet completely stopped working, and even resetting the router doesn?t help.",High
The WiFi signal is so weak that I can only connect if I stand near the router.,High
The WiFi works fine during the day but slows to a crawl at night.,Medium
My router works but constantly drops certain devices from the network.,Medium
My connection is fast on some devices but very slow on others.,Medium
My online games keep lagging badly even though the signal is strong.,Medium
My WiFi disconnects for a few seconds whenever someone starts streaming a video.,Medium
The WiFi range isn?t as strong in my bedroom as in other rooms.,Low
"The router makes a quiet buzzing noise, but the internet still works fine.",Low
"The internet speed is fine, but certain websites load slowly for no reason.",Low
The router takes a long time to restart after being powered off.,Low
My laptop sometimes shows full signal but can?t load web pages.,Low
"My bed frame is unstable, and the headboard is coming loose.",High
My wardrobe?s sliding door came off completely.,High
"One leg of my couch snapped off, making it unsafe to sit on.",High
The dining table wobbles so much that eating on it is difficult.,High
"A sharp nail is sticking out from my wooden chair, making it unsafe to use.",High
My bathroom tap is gushing water even when turned off.,High
The pipe behind my washing machine is leaking heavily.,High
"The kitchen drain is backing up, and dirty water is coming out.",High
"My bathtub is completely clogged, and water won?t drain.",High
My shower won?t turn off no matter how much I twist the knob.,High
My toilet flushes but takes a long time to refill.,Medium
The sink in my guest bathroom drains extremely slowly.,Medium
The water pressure in my kitchen faucet is too weak to rinse dishes properly.,Medium
My bathroom pipes make loud banging noises whenever I turn the water on.,Medium
"The outdoor water tap is dripping constantly, wasting water.",Medium
The shower temperature fluctuates between hot and cold randomly.,Low
My toilet makes a hissing noise long after flushing.,Low
The rubber seal around my sink drain is coming loose.,Low
The kitchen tap handle is stiff and difficult to turn.,Low
My bathroom faucet makes a whistling noise when turned on.,Low
"My fuse box is sparking, and I?m scared it might catch fire.",High
The power in my entire apartment keeps flickering on and off.,High
One of my outlets shocked me when I tried to plug in my charger.,High
My ceiling light is overheating and has a burning smell.,High
The breaker trips every time I use the microwave.,High
"The hallway light switch works, but I have to press it multiple times.",Medium
"The power in one half of my bedroom works, but the other half doesn?t.",Medium
My bathroom light takes several seconds to turn on after flipping the switch.,Medium
"My TV randomly turns off and on, possibly due to an electrical issue.",Medium
The plug on my washing machine feels very loose in the socket.,Medium
The wall socket behind my bed is too loose to hold plugs properly.,Low
The dimmer switch in my living room doesn?t change brightness properly.,Low
"One of the bulbs in my kitchen keeps flickering, even with a new bulb.",Low
The motion sensor light in my hallway is too sensitive.,Low
The timer on my outdoor lights is not working properly.,Low
"My WiFi cuts out every few minutes, making it impossible to work.",High
"The router isn?t connecting to the internet at all, even after restarting.",High
My internet drops completely whenever it starts raining.,High
My connection is so unstable that I can?t even send messages.,High
The router gets extremely hot and shuts down randomly.,High
My WiFi is significantly slower in the evenings.,Medium
"My internet speed is fine, but my video calls constantly freeze.",Medium
The router signal is weak in half of my apartment.,Medium
My phone disconnects from the WiFi every time I step into another room.,Medium
The router sometimes restarts itself for no reason.,Medium
"My internet works, but some websites take forever to load.",Low
The WiFi sometimes disconnects briefly before reconnecting.,Low
My internet connection drops for a few seconds whenever I start streaming.,Low
"The router light blinks randomly, but the connection seems fine.",Low
My smart TV struggles to connect to WiFi even when other devices work fine.,Low
"My bed frame is collapsing, making it unsafe to sleep on.",High
The dining table is so wobbly that it feels like it might break.,High
"My wardrobe door came off completely, and I can?t put it back.",High
One of the legs of my chair snapped while I was sitting.,High
"A cabinet in my kitchen suddenly fell, damaging dishes inside.",High
The couch cushions have sunk so much that it?s uncomfortable to sit on.,Medium
The drawers in my dresser keep getting stuck.,Medium
My office chair leans to one side and feels unstable.,Medium
The screws on my bookshelf keep coming loose.,Medium
One of the doors on my kitchen cabinet won?t close properly.,Medium
My bedside table drawer makes a squeaky noise when opened.,Low
The coffee table has a small crack but is still usable.,Low
The handles on my closet doors are loose.,Low
My wooden dining chairs make a creaking sound when sat on.,Low
The armrest on my sofa is slightly wobbly.,Low
"My front gate hinges broke, and I can?t close it properly.",High
The railing on my staircase is loose and unsafe to lean on.,High
"The metal frame of my door is bent, making it hard to close.",High
My window grille is coming off from the wall.,High
A welded joint on my security door has cracked completely.,High
My metal chair frame has started bending under weight.,Medium
The sliding mechanism on my metal gate is getting jammed.,Medium
The lock on my metal storage cabinet isn?t aligning properly.,Medium
The welding on my balcony railing is starting to rust.,Medium
My garage door makes a grinding noise when opening.,Medium
The hinges on my metal window frame are a bit stiff.,Low
The paint on my welded fence is peeling off.,Low
The latch on my security gate is slightly misaligned.,Low
My metal bed frame has a minor squeaking sound.,Low
The screws on my metal wardrobe frame feel slightly loose.,Low
"The main water pipe under my sink burst, and my kitchen is flooding.",High
"My toilet won?t flush, and the water level is rising dangerously.",High
"The shower drain is completely blocked, and water is spilling over.",High
"My bathroom sink pipe is cracked, causing water to leak under the cabinet.",High
The kitchen sink is overflowing due to a clog.,High
"My bathroom tap only works if I turn it very slowly, and even then, it leaks.",Medium
My toilet takes multiple flushes to clear properly.,Medium
There?s a persistent gurgling noise coming from my bathtub drain.,Medium
The water in my sink takes forever to go down the drain.,Medium
"My tap drips constantly, even when tightly shut.",Medium
My shower makes a loud noise whenever I turn the hot water on.,Low
The water temperature in my sink takes too long to adjust.,Low
My bathroom sink stopper isn?t sealing properly.,Low
The water pressure in my shower has gotten weaker over time.,Low
My kitchen sink has a strange odor coming from the drain.,Low
Sparks are coming from one of my electrical outlets.,High
The main power switch in my apartment isn?t working.,High
My refrigerator keeps turning off and on due to unstable power.,High
My electric stove isn?t turning on at all.,High
A loud buzzing sound is coming from my circuit breaker box.,High
The power in my room randomly goes off for a few seconds.,Medium
My ceiling fan slows down even when set to high speed.,Medium
The light switch in my hallway needs to be pressed several times to work.,Medium
"My TV flickers randomly, even when no one touches the remote.",Medium
The light in my kitchen keeps turning off on its own.,Medium
One of the outlets in my bedroom doesn?t hold plugs firmly.,Low
The LED light in my living room flickers faintly when turned off.,Low
The dimmer switch for my lights isn?t adjusting brightness properly.,Low
My bathroom light makes a buzzing sound when turned on.,Low
The motion sensor light outside my door turns on randomly at night.,Low
"My WiFi disconnects every few minutes, making work impossible.",High
The router keeps rebooting on its own.,High
My internet is so slow that I can?t even load a webpage.,High
My connection drops completely whenever I stream videos.,High
The WiFi signal is completely gone in certain rooms.,High
My internet speed is fine during the day but horrible at night.,Medium
"Video calls keep lagging, even when my internet seems stable.",Medium
My router doesn?t cover the whole apartment properly.,Medium
"My laptop stays connected to WiFi, but there?s no internet access.",Medium
The router?s signal strength randomly weakens throughout the day.,Medium
The router takes too long to restart after a power outage.,Low
"Some devices connect perfectly, but others struggle to stay online.",Low
Websites load slowly despite a good speed test result.,Low
My gaming console disconnects from WiFi but reconnects after a few seconds.,Low
The WiFi takes a while to reconnect after I leave and return home.,Low
My bed frame completely collapsed in the middle of the night.,High
"A wooden plank from my bookshelf fell off, nearly hitting someone.",High
My wardrobe?s entire door came off and is too heavy to fix alone.,High
"My chair leg snapped, making it impossible to sit on safely.",High
"The hinge on my kitchen cabinet broke, making the door hang off.",High
The drawers on my dresser get stuck every time I try to open them.,Medium
My office chair won?t stay at the height I set it to.,Medium
The couch legs are slightly loose and wobble when someone sits.,Medium
The screws on my dining table keep coming loose.,Medium
The door on my TV stand doesn?t close properly.,Medium
My bedside table has a small crack on one side.,Low
The wheels on my office chair squeak when I move.,Low
The paint on my wooden furniture is starting to chip.,Low
My couch fabric is fraying slightly along the edges.,Low
The frame on my mirror is slightly loose but still intact.,Low
"My front gate?s lock mechanism is broken, and I can?t secure it.",High
The staircase railing is unstable and feels like it might detach.,High
The welding on my security door is cracking.,High
My metal window grille is bent out of shape.,High
My fence gate won?t close because the hinges are misaligned.,High
My metal bed frame has started bending under weight.,Medium
The sliding mechanism on my gate is jamming frequently.,Medium
My security door handle is loose due to a welding issue.,Medium
The metal hinges on my cabinets are rusting.,Medium
The screws holding my metal frame together keep coming loose.,Medium
The paint on my welded balcony railing is peeling off.,Low
The metal frame on my chair is slightly bent.,Low
The latch on my gate doesn?t align perfectly but still locks.,Low
The legs on my metal table wobble slightly.,Low
The door on my metal locker squeaks when opened.,Low
The power socket near my desk is slightly loose.,Low
"My bedside lamp works, but the switch feels stiff.",Low
The extension cord in my room gets warm after a while.,Low
My bathroom light flickers once when I first turn it on.,Low
My charging cable sparks when I plug it into certain outlets.,Low
"My internet connection drops every five minutes, making work impossible.",High
The WiFi router keeps restarting on its own.,High
My connection speed is so slow that even sending messages is difficult.,High
My home WiFi disappears completely at random times.,High
"My router isn?t showing any lights, and I have no internet.",High
My internet is fine during the day but slows down badly in the evening.,Medium
My WiFi signal randomly gets weaker even when I'm close to the router.,Medium
The internet keeps lagging when I try to watch movies.,Medium
"Some websites won?t load, but others work fine.",Medium
My router takes too long to boot up after restarting.,Medium
My WiFi speed is lower than what I?m paying for.,Low
The WiFi range is weaker than it used to be.,Low
My router makes a slight humming noise.,Low
"My laptop connects, but my phone struggles to maintain a connection.",Low
My internet slows down only when multiple devices are connected.,Low
My bed frame collapsed while I was sleeping.,High
"The dining table legs are extremely loose, and the table is unstable.",High
"A heavy bookshelf fell over, nearly causing an injury.",High
"The chair leg snapped, making it unsafe to sit on.",High
My wardrobe door completely came off its hinges.,High
The screws on my dresser drawers keep coming loose.,Medium
My couch legs wobble when someone sits on it.,Medium
The hinges on my cabinet doors are getting weak.,Medium
"The table surface is uneven, making objects slide off.",Medium
My office chair keeps sinking when I sit on it.,Medium
The paint on my wooden furniture is chipping.,Low
My nightstand drawer gets stuck halfway.,Low
The handle on my dresser is slightly loose.,Low
My coffee table wobbles slightly.,Low
The stitching on my couch is coming undone in one spot.,Low
"The metal gate is bent, making it impossible to lock.",High
The security bars on my window are coming loose.,High
The staircase railing is unstable and dangerous to lean on.,High
The metal door frame is cracking at the welded joints.,High
"The main gate hinge broke, making it impossible to close properly.",High
The welding on my metal chair frame is coming apart.,Medium
My balcony railing feels shaky when touched.,Medium
The latch on my door is slightly misaligned.,Medium
The welded joints on my fence are rusting.,Medium
The metal bed frame has started creaking loudly.,Medium
The paint on my metal window frame is peeling off.,Low
The metal table legs have minor rust spots.,Low
The welding on my old chair is slightly cracked.,Low
My gate latch is stiff but still works.,Low
My door handle is making a creaking noise.,Low
My washing machine drain is clogged.,Medium
The kitchen sink gurgles loudly when draining.,Medium
The hot water in my shower takes too long to start.,Medium
My toilet tank takes forever to refill.,Medium
The bathroom tap has started dripping more frequently.,Medium
My lightbulbs burn out too quickly.,Medium
The power in my apartment fluctuates when using the microwave.,Medium
My extension cord makes a buzzing sound when plugged in.,Medium
My ceiling fan wobbles when set to high speed.,Medium
The power socket in my bathroom stopped working suddenly.,Medium
My WiFi speed is slower than advertised.,Medium
My router has to be restarted daily to maintain a connection.,Medium
The internet cuts out every time there?s rain.,Medium
My connection drops when too many devices are connected.,Medium
My gaming console lags even when connected via Ethernet.,Medium
The armrests on my couch feel loose.,Medium
The dining chairs make a creaking noise when sat on.,Medium
The bookshelf is slightly tilted forward.,Medium
My coffee table surface has developed a slight crack.,Medium
The drawer handles on my dresser are not aligned properly.,Medium
The metal security door has a small crack in its frame.,Medium
The hinges on my metal window frame squeak loudly.,Medium
The welding on my gate looks like it?s starting to rust.,Medium
The metal bed frame feels less sturdy than before.,Medium
The door handle on my welded door is coming loose.,Medium
Water is leaking from the ceiling directly under the upstairs bathroom.,High
"The kitchen drain is completely clogged, and water is backing up into the sink.",High
"My toilet is overflowing non-stop, and I can?t stop the water.",High
"The water from my shower smells awful, like something rotten.",High
"A pipe under my bathroom sink burst, and water is gushing out.",High
There?s no water coming out of any taps in my house.,High
"The bathroom tap broke off, and now water is shooting everywhere.",High
My washing machine drain is flooding my laundry room.,High
The water heater is leaking and making a weird hissing sound.,High
The main water supply line outside my house is leaking heavily.,High
The shower handle snapped off while I was turning it.,High
The pipes are making a loud hammering noise every time I turn on the water.,High
"My sink?s P-trap is disconnected, and now water spills under the cabinet.",High
The toilet fills up too much and doesn?t flush properly.,High
There?s a horrible sewage smell coming from the floor drain.,High
"My bathtub takes forever to drain, and water keeps pooling.",High
The water pressure in my shower suddenly dropped to almost nothing.,High
"My outdoor tap is completely broken, and water won?t stop flowing.",High
"The toilet tank isn?t refilling, so I can?t flush.",High
"There?s a crack in the sink, and water keeps seeping through.",High
My pipes are making a rattling noise whenever I turn the water on.,High
There?s a pool of water forming under my refrigerator due to a leaking pipe.,High
"The water from my tap has a strange color, and I?m worried it?s unsafe.",High
My bidet is leaking and spraying water onto the floor.,High
"The water heater stopped working completely, so there?s no hot water.",High
My water meter isn?t moving even though I?m using water.,High
The bathtub faucet is loose and drips constantly.,High
The pipes make a loud clanking noise when I use hot water.,High
The outdoor tap leaks even when completely turned off.,Medium
My toilet?s flush handle is jammed.,Medium
My light switch gets hot after being on for a while.,High
The power fluctuates when I turn on multiple appliances.,High
My bedroom light randomly dims and brightens on its own.,Medium
The ceiling fan turns slower than it used to.,Medium
The bulbs in my hallway burn out too quickly.,Medium
The router won?t connect unless I restart it every day.,High
The router settings page isn?t loading.,High
My WiFi disconnects whenever I use the microwave.,Medium
My internet slows down whenever my neighbor?s router is active.,Medium
